iter	Passed	Remaining
0	0	71
1	1	61
2	1	62
3	2	61
4	3	60
5	3	62
6	4	61
7	5	61
8	6	61
9	6	59
10	7	58
11	7	58
12	8	57
13	9	57
14	10	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	19	42
32	20	41
33	20	40
34	21	39
35	21	39
36	22	38
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
